threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,false_negative_rate,tn,fp,fn,tp,experiment,fold,threshold_recall95
0.30499999999999994,0.9135308246597278,0.9021164021164021,0.952513966480447,0.9266304347826086,0.971482700430786,0.9832695179935652,0.8611632270168855,0.04748603351955307,459,74,34,682,F0_logreg_basic,0,0.30499999999999994
0.185,0.9175340272217775,0.9081225033288948,0.952513966480447,0.9297886843899114,0.9726775813095475,0.9826203140499074,0.8705440900562852,0.04748603351955307,464,69,34,682,F0_logreg_basic,1,0.185
0.25499999999999995,0.9207365892714171,0.9140939597315436,0.9511173184357542,0.9322381930184805,0.9793594809605165,0.9864298978296717,0.8799249530956847,0.04888268156424581,469,64,35,681,F0_logreg_basic,2,0.25499999999999995
0.35999999999999993,0.932746196957566,0.9281842818428184,0.9567039106145251,0.9422283356258597,0.9794354711918414,0.9836235217326995,0.900562851782364,0.04329608938547486,480,53,31,685,F0_logreg_basic,3,0.35999999999999993
0.27499999999999997,0.9183346677341874,0.9092122830440588,0.9524475524475524,0.930327868852459,0.9745475498284486,0.9838449117588395,0.8726591760299626,0.04755244755244755,466,68,34,681,F0_logreg_basic,4,0.27499999999999997
0.25499999999999995,0.9127301841473179,0.9009247027741083,0.952513966480447,0.9260013577732519,0.9712704518536376,0.9831060998380028,0.8592870544090057,0.04748603351955307,458,75,34,682,F1_logreg_class_weight,0,0.25499999999999995
0.16499999999999998,0.9175340272217775,0.9092122830440588,0.9511173184357542,0.9296928327645051,0.9728741077698702,0.9829356389944763,0.8724202626641651,0.04888268156424581,465,68,35,681,F1_logreg_class_weight,1,0.16499999999999998
0.21999999999999997,0.921537229783827,0.9153225806451613,0.9511173184357542,0.9328767123287671,0.9797027471778801,0.986771103046477,0.8818011257035647,0.04888268156424581,470,63,35,681,F1_logreg_class_weight,2,0.21999999999999997
0.30499999999999994,0.932746196957566,0.927027027027027,0.9581005586592178,0.9423076923076923,0.9795298038927962,0.98394534346561,0.8986866791744841,0.04189944134078212,479,54,30,686,F1_logreg_class_weight,3,0.30499999999999994
0.22999999999999998,0.9183346677341874,0.9103078982597055,0.951048951048951,0.9302325581395349,0.974413975537571,0.983996982730733,0.8745318352059925,0.04895104895104895,467,67,35,680,F1_logreg_class_weight,4,0.22999999999999998
0.42999999999999994,0.9815852682145717,0.9887165021156559,0.979050279329609,0.983859649122807,0.9937334262685128,0.9966239518741279,0.9849906191369606,0.02094972067039106,525,8,15,701,F2_random_forest_balanced,0,0.42999999999999994
0.42499999999999993,0.9711769415532426,0.9696132596685083,0.9804469273743017,0.975,0.9940373871938117,0.9963532042339776,0.9587242026266416,0.019553072625698324,511,22,14,702,F2_random_forest_balanced,1,0.42499999999999993
0.4499999999999999,0.978382706164932,0.9872701555869873,0.9748603351955307,0.9810260014054814,0.9978788244049179,0.998466847263751,0.9831144465290806,0.025139664804469275,524,9,18,698,F2_random_forest_balanced,2,0.4499999999999999
0.42499999999999993,0.978382706164932,0.9791376912378303,0.9832402234636871,0.981184668989547,0.997401920194535,0.9979862209239626,0.9718574108818011,0.01675977653631285,518,15,12,704,F2_random_forest_balanced,3,0.42499999999999993
0.42499999999999993,0.9767814251401121,0.9858356940509915,0.9734265734265735,0.9795918367346939,0.9967090961472984,0.9978403547459581,0.9812734082397003,0.026573426573426574,524,10,19,696,F2_random_forest_balanced,4,0.42499999999999993
0.26499999999999996,0.9863891112890312,0.9888111888111888,0.9874301675977654,0.9881201956673655,0.9963760520716509,0.9980383414627365,0.9849906191369606,0.012569832402234637,525,8,9,707,F3_lightgbm_weighted,0,0.26499999999999996
0.20499999999999996,0.9871897518014412,0.9861111111111112,0.9916201117318436,0.9888579387186629,0.9972276667330489,0.9984031521084641,0.9812382739212008,0.008379888268156424,523,10,6,710,F3_lightgbm_weighted,1,0.20499999999999996
0.4049999999999999,0.9919935948759008,0.9943977591036415,0.9916201117318436,0.993006993006993,0.9990514322848428,0.9994063835936299,0.9924953095684803,0.008379888268156424,529,4,6,710,F3_lightgbm_weighted,2,0.4049999999999999
0.6499999999999999,0.9935948759007206,0.9930362116991643,0.9958100558659218,0.9944211994421199,0.9995204754368128,0.9996263207368692,0.9906191369606003,0.004189944134078212,528,5,3,713,F3_lightgbm_weighted,3,0.6499999999999999
0.5299999999999999,0.9935948759007206,0.998589562764457,0.9902097902097902,0.9943820224719101,0.9984861580367198,0.9991154517125188,0.99812734082397,0.009790209790209791,533,1,7,708,F3_lightgbm_weighted,4,0.5299999999999999
0.29,0.9823859087269816,0.9832869080779945,0.9860335195530726,0.9846582984658299,0.9938919576131731,0.9967147092132911,0.9774859287054409,0.013966480446927373,521,12,10,706,F4_xgboost_weighted,0,0.29
0.49999999999999994,0.9823859087269816,0.9915014164305949,0.9776536312849162,0.9845288326300985,0.9957393063402056,0.997470577790901,0.9887429643527205,0.0223463687150838,527,6,16,700,F4_xgboost_weighted,1,0.49999999999999994
0.43499999999999994,0.9847878302642114,0.9915373765867419,0.9818435754189944,0.9866666666666667,0.998401584789376,0.998925472889481,0.9887429643527205,0.018156424581005588,527,6,13,703,F4_xgboost_weighted,2,0.43499999999999994
0.42499999999999993,0.9871897518014412,0.9834254143646409,0.994413407821229,0.9888888888888889,0.9987815359459997,0.9990391401267331,0.9774859287054409,0.00558659217877095,521,12,4,712,F4_xgboost_weighted,3,0.42499999999999993
0.48999999999999994,0.9879903923138511,0.9943502824858758,0.9846153846153847,0.9894588896697118,0.9979963856368351,0.9987304560393162,0.9925093632958801,0.015384615384615385,530,4,11,704,F4_xgboost_weighted,4,0.48999999999999994
