feature,importance,importance_share,feature_type
contrast,590.0,0.06555555555555556,metadata
brightness,554.0,0.06155555555555556,metadata
pixel_r13_c17,80.0,0.008888888888888889,pixel
pixel_r10_c13,71.0,0.00788888888888889,pixel
pixel_r19_c15,68.0,0.007555555555555556,pixel
pixel_r11_c13,65.0,0.007222222222222222,pixel
pixel_r14_c18,55.0,0.006111111111111111,pixel
pixel_r19_c19,52.0,0.0057777777777777775,pixel
pixel_r11_c20,51.0,0.005666666666666667,pixel
pixel_r11_c11,50.0,0.005555555555555556,pixel
pixel_r13_c14,50.0,0.005555555555555556,pixel
pixel_r20_c13,50.0,0.005555555555555556,pixel
pixel_r18_c18,49.0,0.0054444444444444445,pixel
pixel_r17_c11,49.0,0.0054444444444444445,pixel
pixel_r12_c19,48.0,0.005333333333333333,pixel
pixel_r14_c13,47.0,0.005222222222222222,pixel
pixel_r17_c18,46.0,0.005111111111111111,pixel
pixel_r11_c09,46.0,0.005111111111111111,pixel
pixel_r22_c16,44.0,0.004888888888888889,pixel
pixel_r22_c14,43.0,0.0047777777777777775,pixel
pixel_r18_c13,43.0,0.0047777777777777775,pixel
pixel_r19_c16,43.0,0.0047777777777777775,pixel
pixel_r13_c10,42.0,0.004666666666666667,pixel
pixel_r16_c15,42.0,0.004666666666666667,pixel
pixel_r12_c12,41.0,0.004555555555555556,pixel
pixel_r18_c17,40.0,0.0044444444444444444,pixel
pixel_r17_c13,40.0,0.0044444444444444444,pixel
pixel_r15_c09,39.0,0.004333333333333333,pixel
pixel_r20_c18,39.0,0.004333333333333333,pixel
pixel_r15_c15,38.0,0.004222222222222222,pixel
pixel_r20_c20,38.0,0.004222222222222222,pixel
pixel_r13_c20,38.0,0.004222222222222222,pixel
pixel_r13_c11,37.0,0.004111111111111111,pixel
pixel_r15_c22,37.0,0.004111111111111111,pixel
pixel_r19_c12,36.0,0.004,pixel
pixel_r12_c16,36.0,0.004,pixel
pixel_r20_c14,36.0,0.004,pixel
pixel_r16_c19,34.0,0.003777777777777778,pixel
pixel_r21_c16,34.0,0.003777777777777778,pixel
pixel_r08_c18,33.0,0.0036666666666666666,pixel
pixel_r09_c08,33.0,0.0036666666666666666,pixel
pixel_r23_c19,32.0,0.0035555555555555557,pixel
pixel_r11_c14,32.0,0.0035555555555555557,pixel
pixel_r16_c16,31.0,0.0034444444444444444,pixel
pixel_r12_c15,31.0,0.0034444444444444444,pixel
pixel_r22_c15,31.0,0.0034444444444444444,pixel
pixel_r15_c13,31.0,0.0034444444444444444,pixel
pixel_r16_c12,30.0,0.0033333333333333335,pixel
pixel_r02_c19,29.0,0.0032222222222222222,pixel
pixel_r12_c10,29.0,0.0032222222222222222,pixel
pixel_r21_c19,29.0,0.0032222222222222222,pixel
pixel_r09_c13,28.0,0.003111111111111111,pixel
pixel_r11_c18,28.0,0.003111111111111111,pixel
pixel_r09_c16,28.0,0.003111111111111111,pixel
pixel_r16_c13,28.0,0.003111111111111111,pixel
pixel_r29_c20,27.0,0.003,pixel
pixel_r15_c19,27.0,0.003,pixel
pixel_r13_c13,26.0,0.0028888888888888888,pixel
pixel_r09_c18,26.0,0.0028888888888888888,pixel
pixel_r23_c18,26.0,0.0028888888888888888,pixel
pixel_r18_c20,26.0,0.0028888888888888888,pixel
pixel_r07_c19,26.0,0.0028888888888888888,pixel
pixel_r20_c17,25.0,0.002777777777777778,pixel
pixel_r09_c05,25.0,0.002777777777777778,pixel
pixel_r22_c06,25.0,0.002777777777777778,pixel
pixel_r19_c29,25.0,0.002777777777777778,pixel
pixel_r18_c21,24.0,0.0026666666666666666,pixel
pixel_r21_c17,24.0,0.0026666666666666666,pixel
pixel_r19_c17,24.0,0.0026666666666666666,pixel
pixel_r19_c23,24.0,0.0026666666666666666,pixel
pixel_r21_c11,24.0,0.0026666666666666666,pixel
pixel_r11_c17,24.0,0.0026666666666666666,pixel
pixel_r19_c10,24.0,0.0026666666666666666,pixel
pixel_r10_c22,24.0,0.0026666666666666666,pixel
pixel_r09_c28,23.0,0.0025555555555555557,pixel
pixel_r02_c13,23.0,0.0025555555555555557,pixel
pixel_r10_c08,23.0,0.0025555555555555557,pixel
pixel_r18_c11,22.0,0.0024444444444444444,pixel
pixel_r21_c12,22.0,0.0024444444444444444,pixel
pixel_r09_c15,22.0,0.0024444444444444444,pixel
pixel_r08_c13,21.0,0.0023333333333333335,pixel
pixel_r09_c17,21.0,0.0023333333333333335,pixel
pixel_r17_c15,21.0,0.0023333333333333335,pixel
pixel_r13_c29,21.0,0.0023333333333333335,pixel
pixel_r15_c12,21.0,0.0023333333333333335,pixel
pixel_r18_c14,21.0,0.0023333333333333335,pixel
pixel_r21_c23,20.0,0.0022222222222222222,pixel
